Ambient light color: Red=0.0000 Green=0.0000 Blue=0.0000

Named object: "BlockoHandRight"
Tri-mesh, Vertices: 162     Faces: 320
Mapped
Vertex list:
Vertex 0:  X:-0.3396     Y:6.4827     Z:-0.3438     U:0.4367     V:0.6319
Smoothing: 1 
Face 145:    A:130 B:50 C:129 AB:1 BC:1 CA:0
Smoothing: 1 
Face 146:    A:49 B:67 C:129 AB:1 BC:1 CA:0
Smoothing: 1 
Face 147:    A:129 B:111 C:49 AB:1 BC:1 CA:0
Smoothing: 1 
Face 148:    A:50 B:130 C:3 AB:1 BC:1 CA:0
Smoothing: 1 
Face 149:    A:111 B:129 C:50 AB:1 BC:1 CA:0
Smoothing: 1 
Face 150:    A:6 B:59 C:51 AB:1 BC:1 CA:0
Smoothing: 1 
Face 151:    A:59 B:60 C:116 AB:1 BC:1 CA:0
Smoothing: 1 
Face 152:    A:116 B:51 C:59 AB:1 BC:1 CA:0
Smoothing: 1 
Face 153:    A:116 B:60 C:52 AB:1 BC:1 CA:0
Smoothing: 1 
Face 154:    A:51 B:4 C:6 AB:1 BC:1 CA:0
Smoothing: 1 
Face 155:    A:60 B:61 C:117 AB:1 BC:1 CA:0
Smoothing: 1 
Face 156:    A:117 B:52 C:60 AB:1 BC:1 CA:0
Smoothing: 1 
Face 157:    A:61 B:62 C:54 AB:1 BC:1 CA:0
Smoothing: 1 
Face 158:    A:54 B:117 C:61 AB:1 BC:1 CA:0
Smoothing: 1 
Face 159:    A:75 B:55 C:63 AB:1 BC:1 CA:0
Smoothing: 1 
Face 160:    A:62 B:63 C:55 AB:1 BC:1 CA:0
Smoothing: 1 
Face 161:    A:55 B:54 C:62 AB:1 BC:1 CA:0
Smoothing: 1 
Face 162:    A:55 B:75 C:5 AB:1 BC:1 CA:0
Smoothing: 1 
Face 163:    A:49 B:124 C:142 AB:1 BC:1 CA:0
Smoothing: 1 
Face 164:    A:142 B:67 C:49 AB:1 BC:1 CA:0
Smoothing: 1 
Face 165:    A:58 B:142 C:124 AB:1 BC:1 CA:0
Smoothing: 1 
Face 166:    A:58 B:5 C:75 AB:1 BC:1 CA:0
Smoothing: 1 
Face 167:    A:127 B:7 C:64 AB:1 BC:1 CA:0
Smoothing: 1 
Face 168:    A:6 B:43 C:127 AB:1 BC:1 CA:0
Smoothing: 1 
Face 169:    A:127 B:65 C:6 AB:1 BC:1 CA:0
Smoothing: 1 
Face 170:    A:66 B:128 C:42 AB:1 BC:1 CA:0
Smoothing: 1 
Face 171:    A:42 B:3 C:66 AB:1 BC:1 CA:0
Smoothing: 1 
Face 172:    A:127 B:64 C:65 AB:1 BC:1 CA:0
Smoothing: 1 
Face 173:    A:43 B:42 C:128 AB:1 BC:1 CA:0
Smoothing: 1 
Face 174:    A:128 B:127 C:43 AB:1 BC:1 CA:0
Smoothing: 1 
Face 175:    A:66 B:3 C:130 AB:1 BC:1 CA:0
Smoothing: 1 
Face 176:    A:131 B:132 C:134 AB:1 BC:1 CA:0
Smoothing: 1 
Face 177:    A:134 B:133 C:131 AB:1 BC:1 CA:0
Smoothing: 1 
Face 178:    A:7 B:68 C:131 AB:1 BC:1 CA:0
Smoothing: 1 
Face 179:    A:131 B:64 C:7 AB:1 BC:1 CA:0
Smoothing: 1 
Face 180:    A:69 B:8 C:132 AB:1 BC:1 CA:0
Smoothing: 1 
Face 181:    A:134 B:137 C:60 AB:1 BC:1 CA:0
Smoothing: 1 
Face 182:    A:65 B:133 C:59 AB:1 BC:1 CA:0
Smoothing: 1 
Face 183:    A:59 B:6 C:65 AB:1 BC:1 CA:0
Smoothing: 1 
Face 184:    A:68 B:69 C:132 AB:1 BC:1 CA:0
Smoothing: 1 
Face 185:    A:132 B:131 C:68 AB:1 BC:1 CA:0
Smoothing: 1 
Face 186:    A:137 B:134 C:132 AB:1 BC:1 CA:0
Smoothing: 1 
Face 187:    A:60 B:59 C:133 AB:1 BC:1 CA:0
Smoothing: 1 
Face 188:    A:133 B:134 C:60 AB:1 BC:1 CA:0
Smoothing: 1 
Face 189:    A:64 B:131 C:133 AB:1 BC:1 CA:0
Smoothing: 1 
Face 190:    A:133 B:65 C:64 AB:1 BC:1 CA:0
Smoothing: 1 
Face 191:    A:135 B:136 C:73 AB:1 BC:1 CA:0
Smoothing: 1 
Face 192:    A:73 B:137 C:135 AB:1 BC:1 CA:0
Smoothing: 1 
Face 193:    A:8 B:70 C:135 AB:1 BC:1 CA:0
Smoothing: 1 
Face 194:    A:135 B:132 C:8 AB:1 BC:1 CA:0
Smoothing: 1 
Face 195:    A:72 B:136 C:71 AB:1 BC:1 CA:0
Smoothing: 1 
Face 196:    A:71 B:9 C:72 AB:1 BC:1 CA:0
Smoothing: 1 
Face 197:    A:70 B:71 C:136 AB:1 BC:1 CA:0
Smoothing: 1 
Face 198:    A:136 B:135 C:70 AB:1 BC:1 CA:0
Smoothing: 1 
Face 199:    A:136 B:72 C:73 AB:1 BC:1 CA:0
Smoothing: 1 
Face 200:    A:61 B:60 C:137 AB:1 BC:1 CA:0
Smoothing: 1 
Face 201:    A:137 B:73 C:61 AB:1 BC:1 CA:0
Smoothing: 1 
Face 202:    A:132 B:135 C:137 AB:1 BC:1 CA:0
Smoothing: 1 
Face 203:    A:138 B:139 C:141 AB:1 BC:1 CA:0
Smoothing: 1 
Face 204:    A:141 B:140 C:138 AB:1 BC:1 CA:0
Smoothing: 1 
Face 205:    A:138 B:72 C:9 AB:1 BC:1 CA:0
Smoothing: 1 
Face 206:    A:74 B:139 C:10 AB:1 BC:1 CA:0
Smoothing: 1 
Face 207:    A:75 B:63 C:141 AB:1 BC:1 CA:0
Smoothing: 1 
Face 208:    A:73 B:140 C:62 AB:1 BC:1 CA:0
Smoothing: 1 
Face 209:    A:62 B:61 C:73 AB:1 BC:1 CA:0
Smoothing: 1 
Face 210:    A:9 B:10 C:139 AB:1 BC:1 CA:0
Smoothing: 1 
Face 211:    A:139 B:138 C:9 AB:1 BC:1 CA:0
Smoothing: 1 
Face 212:    A:75 B:141 C:139 AB:1 BC:1 CA:0
Smoothing: 1 
Face 213:    A:139 B:74 C:75 AB:1 BC:1 CA:0
Smoothing: 1 
Face 214:    A:63 B:62 C:140 AB:1 BC:1 CA:0
Smoothing: 1 
Face 215:    A:140 B:141 C:63 AB:1 BC:1 CA:0
Smoothing: 1 
Face 216:    A:72 B:138 C:140 AB:1 BC:1 CA:0
Smoothing: 1 
Face 217:    A:140 B:73 C:72 AB:1 BC:1 CA:0
Smoothing: 1 
Face 218:    A:76 B:151 C:142 AB:1 BC:1 CA:0
Smoothing: 1 
Face 219:    A:76 B:74 C:10 AB:1 BC:1 CA:0
Smoothing: 1 
Face 220:    A:75 B:76 C:58 AB:1 BC:1 CA:0
Smoothing: 1 
Face 221:    A:67 B:142 C:151 AB:1 BC:1 CA:0
Smoothing: 1 
Face 222:    A:142 B:58 C:76 AB:1 BC:1 CA:0
Smoothing: 1 
Face 223:    A:76 B:75 C:74 AB:1 BC:1 CA:0
Smoothing: 1 
Face 224:    A:143 B:128 C:77 AB:1 BC:1 CA:0
Smoothing: 1 
Face 225:    A:145 B:143 C:78 AB:1 BC:1 CA:0
Smoothing: 1 
Face 226:    A:78 B:12 C:145 AB:1 BC:1 CA:0
Smoothing: 1 
Face 227:    A:7 B:127 C:143 AB:1 BC:1 CA:0
Smoothing: 1 
Face 228:    A:143 B:79 C:7 AB:1 BC:1 CA:0
Smoothing: 1 
Face 229:    A:77 B:78 C:143 AB:1 BC:1 CA:0
Smoothing: 1 
Face 230:    A:143 B:145 C:79 AB:1 BC:1 CA:0
Smoothing: 1 
Face 231:    A:128 B:143 C:127 AB:1 BC:1 CA:0
Smoothing: 1 
Face 232:    A:11 B:77 C:128 AB:1 BC:1 CA:0
Smoothing: 1 
Face 233:    A:128 B:66 C:11 AB:1 BC:1 CA:0
Smoothing: 1 
Face 234:    A:144 B:155 C:11 AB:1 BC:1 CA:0
Smoothing: 1 
Face 235:    A:130 B:144 C:66 AB:1 BC:1 CA:0
Smoothing: 1 
Face 236:    A:67 B:80 C:129 AB:1 BC:1 CA:0
Smoothing: 1 
Face 237:    A:155 B:144 C:129 AB:1 BC:1 CA:0
Smoothing: 1 
Face 238:    A:11 B:66 C:144 AB:1 BC:1 CA:0
Smoothing: 1 
Face 239:    A:144 B:130 C:129 AB:1 BC:1 CA:0
Smoothing: 1 
Face 240:    A:147 B:146 C:145 AB:1 BC:1 CA:0
Smoothing: 1 
Face 241:    A:147 B:26 C:8 AB:1 BC:1 CA:0
Smoothing: 1 
Face 242:    A:8 B:69 C:147 AB:1 BC:1 CA:0
Smoothing: 1 
Face 243:    A:79 B:146 C:68 AB:1 BC:1 CA:0
Smoothing: 1 
Face 244:    A:68 B:7 C:79 AB:1 BC:1 CA:0
Smoothing: 1 
Face 245:    A:69 B:68 C:146 AB:1 BC:1 CA:0
Smoothing: 1 
Face 246:    A:146 B:147 C:69 AB:1 BC:1 CA:0
Smoothing: 1 
Face 247:    A:146 B:79 C:145 AB:1 BC:1 CA:0
Smoothing: 1 
Face 248:    A:148 B:149 C:9 AB:1 BC:1 CA:0
Smoothing: 1 
Face 249:    A:26 B:157 C:148 AB:1 BC:1 CA:0
Smoothing: 1 
Face 250:    A:148 B:8 C:26 AB:1 BC:1 CA:0
Smoothing: 1 
Face 251:    A:23 B:149 C:156 AB:1 BC:1 CA:0
Smoothing: 1 
Face 252:    A:156 B:89 C:23 AB:1 BC:1 CA:0
Smoothing: 1 
Face 253:    A:8 B:148 C:70 AB:1 BC:1 CA:0
Smoothing: 1 
Face 254:    A:157 B:156 C:149 AB:1 BC:1 CA:0
Smoothing: 1 
Face 255:    A:149 B:148 C:157 AB:1 BC:1 CA:0
Smoothing: 1 
Face 256:    A:24 B:9 C:149 AB:1 BC:1 CA:0
Smoothing: 1 
Face 257:    A:149 B:23 C:24 AB:1 BC:1 CA:0
Smoothing: 1 
Face 258:    A:71 B:70 C:148 AB:1 BC:1 CA:0
Smoothing: 1 
Face 259:    A:148 B:9 C:71 AB:1 BC:1 CA:0
Smoothing: 1 
Face 260:    A:150 B:23 C:89 AB:1 BC:1 CA:0
Smoothing: 1 
Face 261:    A:10 B:150 C:76 AB:1 BC:1 CA:0
Smoothing: 1 
Face 262:    A:151 B:80 C:67 AB:1 BC:1 CA:0
Smoothing: 1 
Face 263:    A:151 B:76 C:150 AB:1 BC:1 CA:0
Smoothing: 1 
Face 264:    A:150 B:10 C:23 AB:1 BC:1 CA:0
Smoothing: 1 
Face 265:    A:153 B:152 C:154 AB:1 BC:1 CA:0
Smoothing: 1 
Face 266:    A:13 B:81 C:153 AB:1 BC:1 CA:0
Smoothing: 1 
Face 267:    A:153 B:83 C:13 AB:1 BC:1 CA:0
Smoothing: 1 
Face 268:    A:28 B:152 C:82 AB:1 BC:1 CA:0
Smoothing: 1 
Face 269:    A:82 B:14 C:28 AB:1 BC:1 CA:0
Smoothing: 1 
Face 270:    A:12 B:78 C:154 AB:1 BC:1 CA:0
Smoothing: 1 
Face 271:    A:154 B:27 C:12 AB:1 BC:1 CA:0
Smoothing: 1 
Face 272:    A:83 B:153 C:77 AB:1 BC:1 CA:0
Smoothing: 1 
Face 273:    A:77 B:11 C:83 AB:1 BC:1 CA:0
Smoothing: 1 
Face 274:    A:81 B:82 C:152 AB:1 BC:1 CA:0
Smoothing: 1 
Face 275:    A:152 B:153 C:81 AB:1 BC:1 CA:0
Smoothing: 1 
Face 276:    A:27 B:154 C:152 AB:1 BC:1 CA:0
Smoothing: 1 
Face 277:    A:152 B:28 C:27 AB:1 BC:1 CA:0
Smoothing: 1 
Face 278:    A:78 B:77 C:153 AB:1 BC:1 CA:0
Smoothing: 1 
Face 279:    A:153 B:154 C:78 AB:1 BC:1 CA:0
Smoothing: 1 
Face 280:    A:80 B:84 C:85 AB:1 BC:1 CA:0
Smoothing: 1 
Face 281:    A:85 B:129 C:80 AB:1 BC:1 CA:0
Smoothing: 1 
Face 282:    A:84 B:16 C:85 AB:1 BC:1 CA:0
Smoothing: 1 
Face 283:    A:13 B:83 C:155 AB:1 BC:1 CA:0
Smoothing: 1 
Face 284:    A:155 B:86 C:13 AB:1 BC:1 CA:0
Smoothing: 1 
Face 285:    A:83 B:11 C:155 AB:1 BC:1 CA:0
Smoothing: 1 
Face 286:    A:86 B:155 C:85 AB:1 BC:1 CA:0
Smoothing: 1 
Face 287:    A:129 B:85 C:155 AB:1 BC:1 CA:0
Smoothing: 1 
Face 288:    A:14 B:87 C:157 AB:1 BC:1 CA:0
Smoothing: 1 
Face 289:    A:157 B:25 C:14 AB:1 BC:1 CA:0
Smoothing: 1 
Face 290:    A:89 B:156 C:88 AB:1 BC:1 CA:0
Smoothing: 1 
Face 291:    A:88 B:15 C:89 AB:1 BC:1 CA:0
Smoothing: 1 
Face 292:    A:87 B:88 C:156 AB:1 BC:1 CA:0
Smoothing: 1 
Face 293:    A:156 B:157 C:87 AB:1 BC:1 CA:0
Smoothing: 1 
Face 294:    A:157 B:26 C:25 AB:1 BC:1 CA:0
Smoothing: 1 
Face 295:    A:158 B:159 C:161 AB:1 BC:1 CA:0
Smoothing: 1 
Face 296:    A:161 B:160 C:158 AB:1 BC:1 CA:0
Smoothing: 1 
Face 297:    A:15 B:90 C:158 AB:1 BC:1 CA:0
Smoothing: 1 
Face 298:    A:158 B:89 C:15 AB:1 BC:1 CA:0
Smoothing: 1 
Face 299:    A:84 B:159 C:91 AB:1 BC:1 CA:0
Smoothing: 1 
Face 300:    A:91 B:16 C:84 AB:1 BC:1 CA:0
Smoothing: 1 
Face 301:    A:80 B:151 C:161 AB:1 BC:1 CA:0
Smoothing: 1 
Face 302:    A:161 B:84 C:80 AB:1 BC:1 CA:0
Smoothing: 1 
Face 303:    A:89 B:160 C:150 AB:1 BC:1 CA:0
Smoothing: 1 
Face 304:    A:90 B:91 C:159 AB:1 BC:1 CA:0
Smoothing: 1 
Face 305:    A:159 B:158 C:90 AB:1 BC:1 CA:0
Smoothing: 1 
Face 306:    A:84 B:161 C:159 AB:1 BC:1 CA:0
Smoothing: 1 
Face 307:    A:151 B:150 C:160 AB:1 BC:1 CA:0
Smoothing: 1 
Face 308:    A:160 B:161 C:151 AB:1 BC:1 CA:0
Smoothing: 1 
Face 309:    A:89 B:158 C:160 AB:1 BC:1 CA:0
Smoothing: 1 
Face 310:    A:16 B:91 C:82 AB:1 BC:1 CA:0
Smoothing: 1 
Face 311:    A:82 B:85 C:16 AB:1 BC:1 CA:0
Smoothing: 1 
Face 312:    A:88 B:82 C:90 AB:1 BC:1 CA:0
Smoothing: 1 
Face 313:    A:90 B:15 C:88 AB:1 BC:1 CA:0
Smoothing: 1 
Face 314:    A:82 B:87 C:14 AB:1 BC:1 CA:0
Smoothing: 1 
Face 315:    A:86 B:82 C:81 AB:1 BC:1 CA:0
Smoothing: 1 
Face 316:    A:81 B:13 C:86 AB:1 BC:1 CA:0
Smoothing: 1 
Face 317:    A:91 B:90 C:82 AB:1 BC:1 CA:0
Smoothing: 1 
Face 318:    A:82 B:88 C:87 AB:1 BC:1 CA:0
Smoothing: 1 
Face 319:    A:82 B:86 C:85 AB:1 BC:1 CA:0
Smoothing: 1 

